notification_id,salary_related,transaction_type_mapped,percentage_change_in_holding,volume,n_people
6198,0,Acquisition/Purchase of Shares,0.01256545783246726,527311.6864,1
6199,0,Acquisition/Purchase of Shares,0.0010242190084117128,43336.25,1
6200,0,Acquisition/Purchase of Shares,0.0008752319638214115,36880.0,1
6201,0,Acquisition/Purchase of Shares,0.0,89961.2894,1
6202,0,Acquisition/Purchase of Shares,0.004053621763096499,174177.52000000002,1
6203,0,Acquisition/Purchase of Shares,0.015393271965614286,628212.1914,1
6204,0,Acquisition/Purchase of Shares,1.0,21352612.0,2
6205,0,Acquisition/Purchase of Shares,0.5136031754963792,300331.1325,2
6206,0,Acquisition/Purchase of Shares,0.5186908927865415,91128.10530000001,2
6207,0,Acquisition/Purchase of Shares,2.018831215683719,12176088.0,2
6208,0,Acquisition/Purchase of Shares,0.15046333501854217,34990.905,1
6209,0,Acquisition/Purchase of Shares,0.03767874980919828,656785.26,1
6210,0,Acquisition/Purchase of Shares,0.07666527980029124,1210797.9444,1
6211,0,Acquisition/Purchase of Shares,0.0,2751000.0,10
6212,0,Acquisition/Purchase of Shares,0.0,585592.2,1
6213,1,Group Not Found,1.0,2438633.45,5
6214,0,Disposal/Sale of Shares,0.0,645999.0,2
6215,0,Acquisition/Purchase of Shares,0.7918157919741551,649000.0,1
6216,0,Group Not Found,0.0,25268922.0,4
6217,1,Acquisition/Purchase of Shares,1.0,1995.0,5
6218,0,Disposal/Sale of Shares,0.0,73555357.0,1
6219,0,Group Not Found,1.0,0.0,1
6220,1,Grant/Award of Rights/Instruments,1.387461125865809,0.0,7
6221,1,Acquisition/Purchase of Shares,0.34149739778982885,0.0,1
6222,0,Acquisition/Purchase of Shares,0.12416190712689347,61700.0,1
6223,0,Acquisition/Purchase of Shares,0.15532934999844672,959901.0,1
6224,0,Exercise/Settlement leading to Shares,1.0,0.0,1
6225,0,Acquisition/Purchase of Shares,1.0,470243.07,2
6226,1,Acquisition/Purchase of Shares,1.0,1049013.3333333333,3
6227,0,Acquisition/Purchase of Shares,1.0,1832160.0,2
6228,0,Disposal/Sale of Shares,0.0,-3728679.9999999995,1
6229,0,Acquisition/Purchase of Shares,1.0,48384.0,1
6230,0,Disposal/Sale of Shares,-0.5,3500000.0,2
6231,0,Disposal/Sale of Shares,-0.06904862542445236,0.0,4
6232,0,Group Not Found,0.0,0.0,1
6233,0,Acquisition/Purchase of Shares,1.0,1825900.0,1
6234,0,Acquisition/Purchase of Shares,1.0,1621175.0,1
6235,0,Acquisition/Purchase of Shares,1.0,37169265.0,1
6236,0,Acquisition/Purchase of Shares,1.0,1700000.0,1
6237,0,Acquisition/Purchase of Shares,0.03700307817927899,17487985.0,1
6238,0,Acquisition/Purchase of Shares,0.001480779482319493,8300.0,1
6239,0,Acquisition/Purchase of Shares,0.024220823538333207,130954.0,1
6240,0,Acquisition/Purchase of Shares,0.047668229125287995,247500.0,1
6241,0,Acquisition/Purchase of Shares,0.06732807597727465,327128.0,1
6242,0,Acquisition/Purchase of Shares,0.06777777777777778,149840.4,1
6243,0,Acquisition/Purchase of Shares,0.1,118000.0,1
6244,0,Group Not Found,0.0038,52576.799999999996,1
6245,0,Acquisition/Purchase of Shares,1.075820895522388,193715.0,1
6246,0,Acquisition/Purchase of Shares,1.0,170850.0,1
6247,0,Acquisition/Purchase of Shares,0.5668491008600469,290000.0,1
6248,0,Acquisition/Purchase of Shares,0.7053333333333334,207621.92,1
6249,0,Acquisition/Purchase of Shares,3.0,97870.4487,1
6250,0,Acquisition/Purchase of Shares,1.0,558.0,1
6251,0,Group Not Found,0.02297429777076851,253330.0,1
6252,0,Transfer (Internal/Other),1.0,0.0,1
6253,0,Acquisition/Purchase of Shares,0.050132044223624724,364000.0,1
6254,0,Acquisition/Purchase of Shares,0.10911979347664201,722592.5,1
6255,0,Acquisition/Purchase of Shares,0.05518187913837901,344777.81999999995,1
6256,0,Acquisition/Purchase of Shares,0.03179218869923357,210428.55,1
6257,0,Acquisition/Purchase of Shares,0.027855555555555557,180504.0,1
6258,0,Acquisition/Purchase of Shares,0.04744946056352781,272425.13999999996,1
6259,0,Acquisition/Purchase of Shares,0.36128505309011705,164548.0,1
6260,0,Acquisition/Purchase of Shares,0.3125,101000.0,1
6261,0,Acquisition/Purchase of Shares,0.24752475247524752,80000.0,1
6262,1,Acquisition/Purchase of Shares,0.5973159221484464,0.0,32
6263,0,Acquisition/Purchase of Shares,1.0,0.0,32
6264,0,Acquisition/Purchase of Shares,0.1282051282051282,4125.0,1
6265,0,Acquisition/Purchase of Shares,0.21875,5740.0,1
6266,0,Acquisition/Purchase of Shares,1.0,9841.98,1
6267,0,Acquisition/Purchase of Shares,0.3712871287128713,250522.94999999998,1
6268,0,Acquisition/Purchase of Shares,3.0,160000.0,1
6269,0,Acquisition/Purchase of Shares,0.1643192488262911,5565.0,1
6270,0,Acquisition/Purchase of Shares,0.4032258064516129,162975.0,1
6271,0,Disposal/Sale of Shares,-0.003137254901960784,1192.0,1
6272,0,Acquisition/Purchase of Shares,0.032432432432432434,900.0,1
6273,0,Acquisition/Purchase of Shares,0.065,1937.0,1
6274,0,Acquisition/Purchase of Shares,0.10869565217391304,35250.0,1
6275,0,Acquisition/Purchase of Shares,0.15,40299.00000000001,1
6276,0,Acquisition/Purchase of Shares,0.2,40299.00000000001,1
6277,0,Acquisition/Purchase of Shares,0.32894736842105265,134280.0,1
6278,0,Acquisition/Purchase of Shares,0.3333333333333333,63500.0,1
6279,0,Acquisition/Purchase of Shares,0.03389830508474576,5000.0,1
6280,0,Acquisition/Purchase of Shares,2.0,409600.0,2
